ID,IUPAC,Usage
245,Neu5Ac(a2-6)[Neu5Ac(a2-3)Gal(b1-3)]GalNAc(a1-Sp14,1
246,Neu5Ac(a2-3)Gal(b1-Sp8,1
247,Neu5Ac(a2-3)Gal(b1-3)GalNAc(b1-3)Gal(a1-4)Gal(b1-4)Glc(b1-Sp0,1
248,Neu5Ac(a2-3)Gal(b1-3)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-Sp0,1
249,Fuc(a1-2)(6S)Gal(b1-4)Glc(b1-Sp0,1
250,Neu5Ac(a2-3)Gal(b1-3)GlcNAc(b1-Sp0,1
251,Neu5Ac(a2-3)Gal(b1-3)GlcNAc(b1-Sp8,1
252,Neu5Ac(a2-3)Gal(b1-4)(6S)GlcNAc(b1-Sp8,1
253,Neu5Ac(a2-3)Gal(b1-4)[Fuc(a1-3)](6S)GlcNAc(b1-Sp8,1
254,Neu5Ac(a2-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp0,1
255,Neu5Ac(a2-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp0,1
256,Neu5Ac(a2-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp8,1
257,Neu5Ac(a2-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-3)Gal(b1-Sp8,1
258,Neu5Ac(a2-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-Sp8,1
259,Neu5Ac(a2-3)Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-Sp0,1
260,Neu5Ac(a2-3)Gal(b1-4)GlcNAc(b1-Sp0,1
261,Neu5Ac(a2-3)Gal(b1-4)GlcNAc(b1-Sp8,1
